track,artist,album
Aslında Bir Konu Var,Yasemin Mori,Hayvanlar
Siyah (Esved),Neyse,Neyse (Remastered)
Onun Karanlık Huyları,Tuğçe Şenoğul,Gölgelerine
Prensesin Uykusuyum,Redd,Kirli Suyunda Parıltılar
Ankara,Vega,Hafif Müzik
Söyle Ruhum,TNK,Söyle Ruhum
Peygamber Sabrı,Lil Zey,Kara Tiyatro
Atlantis,Güneş,Atlantis
Kapıda Yalnızlık,Bengü,İkinci Hal
Nasır,Melike Şahin,Merhem
Ay,Şebnem Ferah,Artık Kısa Cümleler Kuruyorum
Heryerde Kar Var,Nilüfer,Geceler
Arada Bir,Candan Erçetin,Elbette
Firuze,Sezen Aksu,Firuze
Sarhoşsun Dünya,Nova Norda,Paralel Evrende Dünya Tarihi
Vursalar Ölemem,Yıldız Tilbe,Salla Gitsin Dertlerini
Kafi,Sertab Erener,Kırık Kalpler Albümü
Siyah,Karsu,Karsu
Yangın,Dolu Kadehi Ters Tut,Yangın
Signomi,Ezginin Günlügü,Her Şey Yolunda
Ağır Kapı,Yeni Türkü,"Yeni Türkü Koleksiyon, Vol. 2 (Part 3)"
Büyük Düşler,mor ve ötesi,Büyük Düşler
Yıldızlardayım,Gece Yolcuları,Kalbin Kadar Yakın
Ankara'yla Bozuşuruz,Perdenin Ardındakiler,Ankara'yla Bozuşuruz
Antidepresan Gülümsemesi - Pazarlık,Model,Levla'nın Hikayesi (Bonus Edition)
Ve Ben,Yaşlı Amca,Akşamüstü
Derine İndik,Adamlar,Dünya Günlükleri
Gözleri Kanlı,Duman,Darmaduman
İz Bırakanlar Unutulmaz (feat. Vega),maNga,maNga +
Unutuldular,Pinhani,İnandığın Masallar
Kol Düğmeleri,Barış Manço,Hal Hal
Yalancı Şahidim,Rafet El Roman,Sürgün
Bu Yağmurlar,emre aydın,Kağıt Evler
Kurtar Beni,Feridun Düzağaç,10'a Özel
DİKEN,Birkan Nasuhoğlu,DİKEN
Tuzla Buz,Mabel Matiz,Gök Nerede
Ölülerle Konuşmanın Püf Noktaları,Can Temiz,AHLAKEN ALÇAK
Aklım Karıştı,Kenan Doğulu,Demedi Deme
Kelimeler,Teoman,Renkli Rüyalar Oteli
Tsira,Kâzım Koyuncu,Hayde
Tarihimin Günahları,Şanışer,LUDOVICO II
Seni Çok Özlüyorum,Tuğkan,Seni Çok Özlüyorum
Meydan,Emir Can İğrek,Meydan
Eğlen,Can Bonomo,Ruhum Bela
Dünyaya - Live,Canozan,"Dolunay, Vol. 1 (Live)"
Perdeleri Yak,Aspova,Geber Pislik
Aşkın Kederi,Manuş Baba,Dönersen Islık Çal
Hiç Işık Yok,No.1,Siyah Bayrak
Gözlerin - Yalancı Yarim,Barış Akarsu,Düşmeden Bulutlarda Koşmam Gerek
Yaşanırsa Diye,Gazapizm,HİZA
Gitti Gideli,Tarkan,Karma
Töre,Cem Karaca,Töre
Sonsuza,Ogün Sanlısoy,Sen Uyurken
Zaferlerim,Demir Demirkan,2004 Istanbul
Sen Anla,Özlem Tekin,Bana Bi'şey Olmaz
Kimseye Kalmaz,TikTak,Kimseye Kalmaz
Vazgeçmedim,Serin,Tesadüf
İstanbul,Flört,Cemiyette Pişiyoruz
Bak,Pilli Bebek,Olsun
Bir Cevabım Var Mı,Gripin,Yalnızlığın Çaresini Bulmuşlar
Güz Bahçen Ve Sen,Ufuk Beydemir,Kristal Oda
Mavi Duvar,Haramiler,Alın Yazısı
Nasıl Öğrendin Unutmayı,Kolpa,Yatağın Soğuk Tarafı
Sensizliğin Kalanı,Ufomuo,Iyi Biri
Kuzum,Yedinci Ev,Kuzum
Kafile,Yüksek Sadakat,Yüksek Sadakat
Gökyüzünde,Zakkum,Her Gün Sonbahar
the 1,Taylor Swift,folklore
1944,Jamala,1944
1980,Ezginin Günlügü,İlk Aşk
1AM FREESTYLE,Joji,SMITHEREENS
"1 step forward, 3 steps back",Olivia Rodrigo,SOUR
365,Mother's Daughter,365
Acıyor,Göksel,Bende Bi' Aşk Var
Ada Sahillerinde,Sertab Erener,Ey Şuh-i Sertab
Adesso è facile (feat. Afterhours),Mina,Facile
Affet,Sezen Aksu,Affet
Ağlamam Zaman Aldı - İnkar,Model,Levla'nın Hikayesi (Bonus Edition)
Ahwak Hiba,هيبة,صح النوم
Aldırma Deli Gönlüm,Sertab Erener,Sakin Ol
Altüst Olmuşum,Mavi Gri,Altüst Olmuşum
Anca Gidersin,Sertab Erener,Ben Yaşarım
ANKSİYETE - her gün,Can Temiz,AHLAKEN ALÇAK
Anlıyorum,Pilli Bebek,Olsun
Anma Arkadaş,Yıldız Tilbe,"Aşk İnsanı Değiştirir, Vol. 1"
Antidepresan,Mert Demir,Antidepresan
Apocalypse,Cigarettes After Sex,Cigarettes After Sex
Araf,mor ve ötesi,Masumiyetin Ziyan Olmaz
Arcade,Duncan Laurence,Arcade
Aşk,Sertab Erener,Sertab Erener
Aşk Bitti,Göksel,Bende Bi' Aşk Var
"Aşk Ölmez, Biz Ölürüz",Sertab Erener,Aşk Ölmez
Astral Pilav Günü,Can Temiz,AHLAKEN ALÇAK
august,Taylor Swift,folklore
Ayşe'ye Şarkı,Ezginin Günlügü,Rüya
Babilonia,Diodato,E forse sono pazzo
Bahar,Candan Erçetin,Kırık Kalpler Durağında
Bak,Pilli Bebek,Olsun
Bakma Bana Öyle,Nova Norda,Bakma Bana Öyle
Bazı Şeyler,Nazan Öncel,Bazı Şeyler
Beautiful Crime,Tamer,Beautiful Crime
BEDELİNİ ÖDEDİM,Melike Şahin,Merhem
Belki,Dedublüman,Belki
